,Events,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,Category
35,b'register submission date request',b'OLO messaging active',b'phase application received',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
43,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'registration date publication',b'start WABOprocedure',b'phase application received',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'request complete',b'enter senddate decision environmental permit',b'phase decision sent',b'phase advice known',b'phase application receptive',b'generating decision environmental permit',b'set decision status',b'enter senddate decision',b'phase decision ready',b'phase decision taken',b'creating environmental permit decision',b'transcript decision environmental permit to stakeholders',b'record date of decision environmental permit',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'register deadline',b'set phase: phase permitting irrevocable',b'objection lodged against decision',b'read publication date field',b'stop all running subcases 2b',b'phase case handled',b'phase archived case',b'phase decision irrevocable',b'close case',b'read publication date field',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
44,b'register submission date request',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'start WABOprocedure',b'phase application received',b'send confirmation receipt',b'registration date publication',b'enter senddate acknowledgement',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'request complete',b'generating decision environmental permit',b'phase decision ready',b'set decision status',b'phase application receptive',b'creating environmental permit decision',b'phase advice known',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'phase decision sent',b'transcript decision environmental permit to stakeholders',b'enter senddate decision environmental permit',b'phase decision taken',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
45,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'send confirmation receipt',b'start WABOprocedure',b'phase application received',b'enter senddate acknowledgement',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'create subcases completeness',b'creating environmental permit decision',b'phase advice known',b'phase decision ready',b'phase application receptive',b'set decision status',b'treat subcases completeness',b'generating decision environmental permit',b'subcases completeness completed',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate decision',b'phase decision sent',b'enter senddate decision environmental permit',b'phase decision taken',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'record date of decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
50,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create publication document',b'phase application received',b'registration date publication',b'start WABOprocedure',b'send confirmation receipt',b'enter senddate acknowledgement',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'create subcases completeness',b'phase asked additional information',b'retrieve missing data',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'phase additional information received',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'send confirmation receipt additional data',b'phase advice known',b'creating environmental permit decision',b'phase application receptive',b'set decision status',b'generating decision environmental permit',b'register objection and appeal periods',b'creating cover letter decision',b'submit decision',b'start decision phase decision permitting sent',b'set decision phase decision permitting decided',b'enter senddate decision environmental permit',b'phase decision ready',b'enter senddate decision',b'transcript decision environmental permit to stakeholders',b'phase decision taken',b'phase decision sent',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
52,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'MER required',b'activities regular procedure',b'phased application',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'read field phased application',b'start WABOprocedure',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'enter date advice on treatment of environmental permit',b'start decisionphase draft decision - permitting decided',b'enter date draft decisionenvironmental permit',b'enrich draft decision',b'open draft decision for inspection',b'create cover letter draft decision',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'submit draft decision',b'request complete',b'phase draft decision made',b'generate draft decision environmental permit',b'phase concept draft decision ready',b'entering senddate draft decision environmental permit',b'phase application receptive',b'create draft environtmental permit',b'phase advice known',b'phase draft decision ready',b'set decision phase: draft decision permitted sent',b'set decision status',b'enter senddate draft decision',b'set decision phase: draft decision for inspection',b'date draft decision for inspection',b'register objection and appeal periods',b'creating cover letter decision',b'perspective on draft decision environmental permit received',b'suspension ground applicable',b'coordination of application',b'decision date prior to decision',b'submit decision',b'creating environmental permit decision',b'enter publication date draft decision',b'read publication date field',b'set decision phase decision permitting decided',b'send design decision to stakeholders',b'phase draft decision sent',b'phase decision taken',b'enter senddate draft decision',b'generating decision environmental permit',b'set decision status',b'phase decision ready',b'record date of decision environmental permit',b'date decision for inspection',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'phase decision sent',b'enter senddate decision environmental permit',b'enter senddate decision',b'enter senddate decision environmental permit',b'set decision phase inspection of decision permitting',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
54,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'start WABOprocedure',b'phase application received',b'send confirmation receipt',b'enter senddate acknowledgement',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
57,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'send confirmation receipt',b'phase application received',b'start WABOprocedure',b'enter senddate acknowledgement',b'start decision phase extension granted',b'enter date decision procedure term extension',b'enter senddate decision procedure term extension',b'start decision phase extension granted',b'suspend term',b'procedure change',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'extend procedure term',b'create subcases completeness',b'register number of days extension period',b'decision date prior to decision',b'create cover letter extend procedure term',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'enter senddate procedure term extension',b'phase procedure extended',b'set decision status',b'generating decision environmental permit',b'creating decision procedure term extension',b'creating environmental permit decision',b'phase decision taken',b'phase advice known',b'phase decision ready',b'create decision procedure term extension',b'phase application receptive',b'set decision status',b'phase decision sent',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
61,b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'create publication document',b'send confirmation receipt',b'register submission date request',b'phase application received',b'registration date publication',b'start WABOprocedure',b'enter senddate acknowledgement',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'procedure change',b'enter senddate retrieve missing data',b'phase asked additional information',b'retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'decision date prior to decision',b'send confirmation receipt additional data',b'request complete',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'enter senddate decision environmental permit',b'phase application receptive',b'phase decision sent',b'start decision phase decision permitting sent',b'phase decision taken',b'phase additional information received',b'phase advice known',b'creating environmental permit decision',b'generating decision environmental permit',b'phase decision ready',b'set decision phase decision permitting decided',b'enter senddate decision',b'transcript decision environmental permit to stakeholders',b'set decision status',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
62,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'phase application received',b'send confirmation receipt',b'registration date publication',b'start WABOprocedure',b'enter senddate acknowledgement',b'term for supplying missing data',b'create letter requesting missing data',b'request complete',b'retrieve missing data',b'enter senddate retrieve missing data',b'enter receipt of additional data',b'receive additional information',b'send confirmation receipt additional data',b'phase additional information received',b'phase asked additional information',b'procedure change after completeness',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'request complete',b'phase advice known',b'phase application receptive',b'creating environmental permit decision',b'set decision status',b'creating cover letter decision',b'submit decision',b'register objection and appeal periods',b'transcript decision environmental permit to stakeholders',b'generating decision environmental permit',b'start decision phase decision permitting sent',b'phase decision taken',b'enter senddate decision environmental permit',b'set decision phase decision permitting decided',b'enter senddate decision',b'phase decision sent',b'phase decision ready',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
63,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'send confirmation receipt',b'registration date publication',b'phase application received',b'start WABOprocedure',b'enter senddate acknowledgement',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'updated plan after review',b'contacting applicant',b'partly permit',b'ask stakeholders views',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'request complete',b'enter senddate decision environmental permit',b'set decision status',b'phase decision ready',b'phase application receptive',b'phase decision sent',b'creating environmental permit decision',b'set decision phase decision permitting decided',b'start decision phase decision permitting sent',b'phase advice known',b'phase decision taken',b'generating decision environmental permit',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
65,b'register submission date request',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'create publication document',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'phase application received',b'start WABOprocedure',b'registration date publication',b'send confirmation receipt',b'enter senddate acknowledgement',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'request complete',b'phase decision taken',b'enter senddate decision',b'creating environmental permit decision',b'phase decision sent',b'phase application receptive',b'generating decision environmental permit',b'enter senddate decision environmental permit',b'set decision status',b'phase advice known',b'phase decision ready',b'transcript decision environmental permit to stakeholders',b'start decision phase decision permitting sent',b'enter senddate decision environmental permit',b'set phase: phase permitting irrevocable',b'register deadline',b'objection lodged against decision',b'stop all running subcases 2b',b'phase decision irrevocable',b'read publication date field',b'phase archived case',b'close case',b'read publication date field',b'phase case handled',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
70,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'create procedure confirmation',b'publish',b'create subcases completeness',b'create publication document',b'phase application received',b'start WABOprocedure',b'registration date publication',b'request complete',b'send letter in progress',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'ask stakeholders views',b'suspension ground applicable',b'coordination of application',b'by law',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'procedure change',b'phase decision taken',b'enter senddate decision',b'creating environmental permit decision',b'enter senddate decision environmental permit',b'transcript decision environmental permit to stakeholders',b'generating decision environmental permit',b'phase decision sent',b'set decision status',b'phase advice known',b'phase decision ready',b'phase application receptive',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'enter senddate decision environmental permit',b'start decision phase decision permitting sent',b'set phase: phase permitting irrevocable',b'register deadline',b'objection lodged against decision',b'enter date publication decision environmental permit',b'phase case handled',b'read publication date field',b'close case',b'phase decision irrevocable',b'stop all running subcases 2b',b'read publication date field',b'phase archived case',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
76,b'register submission date request',b'OLO messaging active',b'send confirmation receipt',b'forward to the competent authority',b'regular procedure without MER',b'send confirmation receipt',b'phase application received',b'enter senddate acknowledgement',b'enter senddate retrieve missing data',b'MER required',b'activities regular procedure',b'phased application',b'create procedure confirmation',b'publish',b'create subcases completeness',b'procedure change',b'request complete',b'term for supplying missing data',b'create letter requesting missing data',b'receive additional information',b'enter receipt of additional data',b'send confirmation receipt additional data',b'read field phased application',b'start WABOprocedure',b'phase additional information received',b'retrieve missing data',b'subcases completeness completed',b'phase asked additional information',b'treat subcases completeness',b'send letter in progress',b'request complete',b'create subcases content',b'procedure change',b'article 34  WABO applies',b'grounds for refusal',b'procedure change after completeness',b'resume completeness subcases',b'subcases completeness completed',b'phase application receptive',b'phase advice known',b'create draft environtmental permit',b'set decision status',b'start decisionphase draft decision - permitting decided',b'enter date draft decisionenvironmental permit',b'submit draft decision',b'enrich draft decision',b'open draft decision for inspection',b'create cover letter draft decision',b'phase draft decision sent',b'phase concept draft decision ready',b'enter senddate draft decision',b'phase draft decision made',b'generate draft decision environmental permit',b'send design decision to stakeholders',b'phase draft decision ready',b'enter senddate draft decision',b'enter date advice on treatment of environmental permit',b'set decision phase: draft decision permitted sent',b'entering senddate draft decision environmental permit',b'set decision phase: draft decision for inspection',b'date draft decision for inspection',b'set decision phase decision permitting decided',b'record date of decision environmental permit',b'suspension ground applicable',b'coordination of application',b'decision date prior to decision',b'submit decision',b'register objection and appeal periods',b'creating cover letter decision',b'perspective on draft decision environmental permit received',b'creating environmental permit decision',b'read publication date field',b'enter publication date draft decision',b'phase decision taken',b'generating decision environmental permit',b'set decision status',b'transcript decision environmental permit to stakeholders',b'phase decision ready',b'enter senddate decision environmental permit',b'date decision for inspection',b'set decision phase inspection of decision permitting',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',1
